Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goals tot,Assists tot,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammonizioni,Espulsioni,Autogoal
4,P,SPORTIELLO,Atalanta,3,6.17,4.5,0,0,0,5,0,0,0,0,0,0,0,0,0
11,D,CONTI,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,D,MASIELLO,Genoa,1,4.0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0
20,C,CIGARINI,Crotone,3,5.83,5.67,0,0,0,0,0,0,0,0,0,0,1,0,0
22,C,DE ROON,Atalanta,3,6.67,7.67,1,0,1,0,0,0,0,0,0,0,0,0,0
26,C,GOMEZ,Atalanta,3,7.83,12.5,4,2,4,0,0,0,0,0,2,0,0,0,0
27,C,GRASSI,Parma,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,C,KURTIC,Parma,1,7.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,P,DA COSTA,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,P,MIRANTE,Roma,3,6.33,5.67,0,0,0,2,0,0,0,0,0,0,0,0,0
42,P,SARR M.,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,D,FERRARI A.,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,D,MBAYE,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,C,DIAWARA,Roma,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
73,D,GAGLIOLO,Parma,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,D,LETIZIA,Benevento,3,6.17,7.17,1,0,1,0,0,0,0,0,0,0,0,0,0
78,D,SPOLLI,Crotone,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,D,MARRONE,Crotone,3,5.0,4.83,0,0,0,0,0,0,0,0,0,0,1,0,0
90,A,LASAGNA,Udinese,3,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0
92,A,MATOS,Udinese,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
106,D,MATTIELLO,Spezia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,C,HETEMAJ,Benevento,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,C,RADOVANOVIC,Genoa,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,A,INGLESE,Parma,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,P,SKORUPSKI,Bologna,3,6.0,4.67,0,0,0,4,0,0,0,0,0,0,0,0,0
134,D,BARBA,Benevento,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,D,DERMAKU,Parma,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
140,D,HYSAJ,Napoli,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,D,LAURINI,Parma,2,5.25,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,D,MARIO RUI,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,D,TONELLI,Sampdoria,3,5.33,4.83,0,0,0,0,0,0,0,0,0,0,3,0,0
148,C,KRUNIC,Milan,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0
150,C,SAPONARA,Fiorentina,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,C,ZIELINSKI,Napoli,2,6.25,8.25,1,1,1,0,0,0,0,0,1,0,0,0,0
159,P,SEPE,Parma,3,5.83,3.83,0,0,0,6,0,0,0,0,0,0,0,0,0
160,P,TATARUSANU,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,C,BADELJ,Genoa,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,C,BORJA VALERO,Fiorentina,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,A,ILICIC,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,C,PETRICCIONE,Crotone,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,C,VECINO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,A,BABACAR,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,C,BERNARDESCHI,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,A,REBIC,Milan,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,A,VERDE,Spezia,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
216,P,DONNARUMMA AN.,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,P,PERIN,Genoa,1,6.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
220,P,UJKANI,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,D,DE MAIO,Udinese,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0
226,D,IZZO,Torino,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,C,KUCKA,Parma,3,5.33,5.0,0,0,0,0,0,0,0,0,0,0,2,0,0
235,D,LAXALT,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,C,LAZOVIC,Verona,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
237,C,PEROTTI,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,C,RINCON,Torino,2,5.75,6.25,0,1,0,0,0,0,0,0,1,0,0,0,0
244,D,GHIGLIONE,Genoa,2,6.5,7.25,0,2,0,0,0,0,0,0,2,0,1,0,0
245,A,PANDEV,Genoa,2,6.0,7.25,1,0,1,0,0,0,0,0,0,0,1,0,0
247,A,PAVOLETTI,Cagliari,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,P,HANDANOVIC,Inter,3,5.83,3.83,0,0,0,6,0,0,0,0,0,0,0,0,0
252,D,BIRAGHI,Fiorentina,3,6.17,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0
253,D,D'AMBROSIO,Inter,2,6.5,9.5,1,0,1,0,0,0,0,0,0,0,0,0,0
254,D,DIMARCO,Verona,3,5.83,5.67,0,0,0,0,0,0,0,0,0,0,1,0,0
256,D,JUAN JESUS,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,D,RANOCCHIA,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,D,SANTON,Roma,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,C,BROZOVIC,Inter,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,C,MEDEL,Bologna,2,6.25,6.75,0,1,0,0,0,0,0,0,1,0,0,0,0
280,A,PALACIO,Bologna,3,6.17,7.17,1,0,1,0,0,0,0,0,0,0,0,0,0
282,P,BUFFON,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,D,BONUCCI,Juventus,2,6.25,7.75,1,0,1,0,0,0,0,0,0,0,0,0,0
287,D,CACERES,Fiorentina,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0
288,D,CHIELLINI,Juventus,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
294,D,RUGANI,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,D,ASAMOAH,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,C,KHEDIRA,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,C,PEREYRA,Udinese,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
305,C,STURARO,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,A,CERRI,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,A,DYBALA,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,A,LLORENTE,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,A,MORATA,Juventus,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,A,ZAZA,Torino,2,5.25,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
318,P,MARCHETTI,Genoa,1,5.5,-0.5,0,0,0,6,0,0,0,0,0,0,0,0,0
322,D,DE VRIJ,Inter,2,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
