,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
0,0,608481,2857,2020-09-19T16:00:00+00:00,1600531200,1,Match Finished,FT,502,Fiorentina,503,Torino,1.0,0.0,Fiorentina
1,1,608489,2857,2020-09-19T18:45:00+00:00,1600541100,1,Match Finished,FT,504,Verona,497,AS Roma,3.0,0.0,Verona
2,2,608486,2857,2020-09-20T10:30:00+00:00,1600597800,1,Match Finished,FT,523,Parma,492,Napoli,0.0,2.0,Napoli
3,3,608482,2857,2020-09-20T13:00:00+00:00,1600606800,1,Match Finished,FT,495,Genoa,501,Crotone,4.0,1.0,Genoa
4,4,608487,2857,2020-09-20T16:00:00+00:00,1600617600,1,Match Finished,FT,488,Sassuolo,490,Cagliari,1.0,1.0,draw
5,5,608483,2857,2020-09-20T18:45:00+00:00,1600627500,1,Match Finished,FT,496,Juventus,498,Sampdoria,3.0,0.0,Juventus
6,6,608485,2857,2020-09-21T18:45:00+00:00,1600713900,1,Match Finished,FT,489,AC Milan,500,Bologna,2.0,0.0,AC Milan
7,7,608498,2857,2020-09-26T13:00:00+00:00,1601125200,2,Match Finished,FT,503,Torino,499,Atalanta,2.0,4.0,Atalanta
8,8,608491,2857,2020-09-26T16:00:00+00:00,1601136000,2,Match Finished,FT,490,Cagliari,487,Lazio,0.0,2.0,Lazio
9,9,608496,2857,2020-09-26T16:00:00+00:00,1601136000,2,Match Finished,FT,498,Sampdoria,506,Benevento,2.0,3.0,Benevento
10,10,608493,2857,2020-09-26T18:45:00+00:00,1601145900,2,Match Finished,FT,505,Inter,502,Fiorentina,4.0,3.0,Inter
11,11,608497,2857,2020-09-27T10:30:00+00:00,1601202600,2,Match Finished,FT,515,Spezia,488,Sassuolo,1.0,4.0,Sassuolo
12,12,608499,2857,2020-09-27T13:00:00+00:00,1601211600,2,Match Finished,FT,504,Verona,494,Udinese,1.0,0.0,Verona
13,13,608492,2857,2020-09-27T16:00:00+00:00,1601222400,2,Match Finished,FT,501,Crotone,489,AC Milan,0.0,2.0,AC Milan
14,14,608494,2857,2020-09-27T16:00:00+00:00,1601222400,2,Match Finished,FT,492,Napoli,495,Genoa,6.0,0.0,Napoli
