team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;699;349;49;301;7.14
Napoli;579;263;46;270;7.10
Fiorentina;618;321;48;249;7.04
AC Milan;636;343;37;256;7.03
AS Roma;619;299;33;287;6.98
Udinese;447;193;27;227;6.94
Inter;552;255;28;269;6.93
Lazio;518;282;23;213;6.93
Catania;475;248;14;213;6.91
Parma;541;249;33;259;6.91
Bologna;507;296;19;192;6.84
Cagliari;461;233;23;205;6.84
Genoa;457;240;23;194;6.81
Torino;430;196;24;210;6.80
Sampdoria;427;232;16;179;6.79
Palermo;514;281;19;214;6.78
Chievo;379;185;23;171;6.78
Atalanta;417;183;27;207;6.77
Siena;345;162;21;162;6.68
Pescara;402;235;20;147;6.60
