,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,490,Cagliari,38,11,12,15,52,56,1.4,1.5
1,518,Brescia,38,6,7,25,35,79,0.9,2.1
2,502,Fiorentina,38,12,13,13,51,48,1.3,1.3
3,492,Napoli,38,18,8,12,61,50,1.6,1.3
4,504,Verona,38,12,13,13,47,51,1.2,1.3
5,500,Bologna,38,12,11,15,52,65,1.4,1.7
6,505,Inter,38,24,10,4,81,36,2.1,0.9
7,867,Lecce,38,9,8,21,52,85,1.4,2.2
8,523,Parma,38,14,7,17,56,57,1.5,1.5
9,496,Juventus,38,26,5,7,76,43,2.0,1.1
10,497,AS Roma,38,21,7,10,77,51,2.0,1.3
11,495,Genoa,38,10,9,19,47,73,1.2,1.9
12,498,Sampdoria,38,12,6,20,48,65,1.3,1.7
13,487,Lazio,38,24,6,8,79,42,2.1,1.1
14,493,Spal,38,5,5,28,27,77,0.7,2.0
15,499,Atalanta,38,23,9,6,98,48,2.6,1.3
16,503,Torino,38,11,7,20,46,68,1.2,1.8
17,488,Sassuolo,38,14,9,15,69,63,1.8,1.7
18,494,Udinese,38,12,9,17,37,51,1.0,1.3
19,489,AC Milan,38,19,9,10,63,46,1.7,1.2
