team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
AS Roma;676;244;55;377;7.14
Napoli;673;307;48;318;7.04
Juventus;583;219;41;323;7.02
Inter;635;245;50;340;6.94
Atalanta;534;184;43;307;6.93
Lazio;591;220;37;334;6.90
AC Milan;555;245;33;277;6.82
Torino;576;260;35;281;6.79
Sassuolo;442;175;33;234;6.78
Fiorentina;614;292;29;293;6.78
Sampdoria;505;238;30;237;6.72
Udinese;437;174;36;227;6.70
Chievo;408;173;36;199;6.67
Bologna;423;220;22;181;6.67
Cagliari;427;163;20;244;6.64
Empoli;365;139;14;212;6.62
Genoa;451;172;42;237;6.60
Crotone;405;179;28;198;6.59
Palermo;387;189;15;183;6.54
Pescara;445;186;31;228;6.5
