,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
0,0,196403,708,2015-08-22T16:00:00+00:00,1440259200,1,Match Finished,FT,504,Verona,497,AS Roma,1,1,draw
1,1,196404,708,2015-08-22T18:45:00+00:00,1440269100,1,Match Finished,FT,487,Lazio,500,Bologna,2,1,Lazio
2,2,196405,708,2015-08-23T16:00:00+00:00,1440345600,1,Match Finished,FT,496,Juventus,494,Udinese,0,1,Udinese
3,3,196406,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,511,Empoli,491,Chievo,1,3,Chievo
4,4,196407,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,502,Fiorentina,489,AC Milan,2,0,Fiorentina
5,5,196408,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,512,Frosinone,503,Torino,1,2,Torino
6,6,196409,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,505,Inter,499,Atalanta,1,0,Inter
7,7,196410,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,522,Palermo,495,Genoa,1,0,Palermo
8,8,196411,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,498,Sampdoria,519,Carpi,5,2,Sampdoria
9,9,196412,708,2015-08-23T18:45:00+00:00,1440355500,1,Match Finished,FT,488,Sassuolo,492,Napoli,2,1,Sassuolo
10,10,196413,708,2015-08-29T16:00:00+00:00,1440864000,2,Match Finished,FT,500,Bologna,488,Sassuolo,0,1,Sassuolo
11,11,196414,708,2015-08-29T18:45:00+00:00,1440873900,2,Match Finished,FT,489,AC Milan,511,Empoli,2,1,AC Milan
12,12,196415,708,2015-08-30T16:00:00+00:00,1440950400,2,Match Finished,FT,497,AS Roma,496,Juventus,2,1,AS Roma
13,13,196416,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,499,Atalanta,512,Frosinone,2,0,Atalanta
14,14,196417,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,519,Carpi,505,Inter,1,2,Inter
15,15,196418,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,491,Chievo,487,Lazio,4,0,Chievo
16,16,196419,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,495,Genoa,504,Verona,2,0,Genoa
17,17,196420,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,492,Napoli,498,Sampdoria,2,2,draw
18,18,196421,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,503,Torino,502,Fiorentina,3,1,Torino
19,19,196422,708,2015-08-30T18:45:00+00:00,1440960300,2,Match Finished,FT,494,Udinese,522,Palermo,0,1,Palermo
20,20,196423,708,2015-09-12T16:00:00+00:00,1442073600,3,Match Finished,FT,502,Fiorentina,495,Genoa,1,0,Fiorentina
21,21,196424,708,2015-09-12T16:00:00+00:00,1442073600,3,Match Finished,FT,512,Frosinone,497,AS Roma,0,2,AS Roma
22,22,196425,708,2015-09-12T18:45:00+00:00,1442083500,3,Match Finished,FT,496,Juventus,491,Chievo,1,1,draw
23,23,196426,708,2015-09-13T10:30:00+00:00,1442140200,3,Match Finished,FT,504,Verona,503,Torino,2,2,draw
24,24,196427,708,2015-09-13T13:00:00+00:00,1442149200,3,Match Finished,FT,511,Empoli,492,Napoli,2,2,draw
25,25,196428,708,2015-09-13T13:00:00+00:00,1442149200,3,Match Finished,FT,522,Palermo,519,Carpi,2,2,draw
26,26,196429,708,2015-09-13T13:00:00+00:00,1442149200,3,Match Finished,FT,488,Sassuolo,499,Atalanta,2,2,draw
27,27,196430,708,2015-09-13T16:00:00+00:00,1442160000,3,Match Finished,FT,487,Lazio,494,Udinese,2,0,Lazio
28,28,196431,708,2015-09-13T18:45:00+00:00,1442169900,3,Match Finished,FT,505,Inter,489,AC Milan,1,0,Inter
29,29,196432,708,2015-09-14T18:45:00+00:00,1442256300,3,Match Finished,FT,498,Sampdoria,500,Bologna,2,0,Sampdoria
30,30,196433,708,2015-09-19T16:00:00+00:00,1442678400,4,Match Finished,FT,494,Udinese,511,Empoli,1,2,Empoli
31,31,196434,708,2015-09-19T18:45:00+00:00,1442688300,4,Match Finished,FT,489,AC Milan,522,Palermo,3,2,AC Milan
32,32,196435,708,2015-09-20T10:30:00+00:00,1442745000,4,Match Finished,FT,491,Chievo,505,Inter,0,1,Inter
33,33,196436,708,2015-09-20T13:00:00+00:00,1442754000,4,Match Finished,FT,499,Atalanta,504,Verona,1,1,draw
34,34,196437,708,2015-09-20T13:00:00+00:00,1442754000,4,Match Finished,FT,500,Bologna,512,Frosinone,1,0,Bologna
35,35,196438,708,2015-09-20T13:00:00+00:00,1442754000,4,Match Finished,FT,495,Genoa,496,Juventus,0,2,Juventus
36,36,196439,708,2015-09-20T13:00:00+00:00,1442754000,4,Match Finished,FT,497,AS Roma,488,Sassuolo,2,2,draw
37,37,196440,708,2015-09-20T13:00:00+00:00,1442754000,4,Match Finished,FT,503,Torino,498,Sampdoria,2,0,Torino
38,38,196441,708,2015-09-20T16:00:00+00:00,1442764800,4,Match Finished,FT,519,Carpi,502,Fiorentina,0,1,Fiorentina
39,39,196442,708,2015-09-20T18:45:00+00:00,1442774700,4,Match Finished,FT,492,Napoli,487,Lazio,5,0,Napoli
40,40,196443,708,2015-09-22T18:45:00+00:00,1442947500,5,Match Finished,FT,494,Udinese,489,AC Milan,2,3,AC Milan
41,41,196444,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,519,Carpi,492,Napoli,0,0,draw
42,42,196445,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,491,Chievo,503,Torino,1,0,Chievo
43,43,196446,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,502,Fiorentina,500,Bologna,2,0,Fiorentina
44,44,196447,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,505,Inter,504,Verona,1,0,Inter
45,45,196448,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,496,Juventus,512,Frosinone,1,1,draw
46,46,196449,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,487,Lazio,495,Genoa,2,0,Lazio
47,47,196450,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,522,Palermo,488,Sassuolo,0,1,Sassuolo
48,48,196451,708,2015-09-23T18:45:00+00:00,1443033900,5,Match Finished,FT,498,Sampdoria,497,AS Roma,2,1,Sampdoria
49,49,196452,708,2015-09-24T18:45:00+00:00,1443120300,5,Match Finished,FT,511,Empoli,499,Atalanta,0,1,Atalanta
50,50,196453,708,2015-09-26T16:00:00+00:00,1443283200,6,Match Finished,FT,497,AS Roma,519,Carpi,5,1,AS Roma
51,51,196454,708,2015-09-26T18:45:00+00:00,1443293100,6,Match Finished,FT,492,Napoli,496,Juventus,2,1,Napoli
52,52,196455,708,2015-09-27T10:30:00+00:00,1443349800,6,Match Finished,FT,495,Genoa,489,AC Milan,1,0,Genoa
53,53,196456,708,2015-09-27T13:00:00+00:00,1443358800,6,Match Finished,FT,500,Bologna,494,Udinese,1,2,Udinese
54,54,196457,708,2015-09-27T13:00:00+00:00,1443358800,6,Match Finished,FT,504,Verona,487,Lazio,1,2,Lazio
55,55,196458,708,2015-09-27T13:00:00+00:00,1443358800,6,Match Finished,FT,488,Sassuolo,491,Chievo,1,1,draw
56,56,196459,708,2015-09-27T13:00:00+00:00,1443358800,6,Match Finished,FT,503,Torino,522,Palermo,2,1,Torino
57,57,196460,708,2015-09-27T18:45:00+00:00,1443379500,6,Match Finished,FT,505,Inter,502,Fiorentina,1,4,Fiorentina
58,58,196461,708,2015-09-28T17:00:00+00:00,1443459600,6,Match Finished,FT,512,Frosinone,511,Empoli,2,0,Frosinone
59,59,196462,708,2015-09-28T19:00:00+00:00,1443466800,6,Match Finished,FT,499,Atalanta,498,Sampdoria,2,1,Atalanta
60,60,196463,708,2015-10-03T16:00:00+00:00,1443888000,7,Match Finished,FT,519,Carpi,503,Torino,2,1,Carpi
61,61,196464,708,2015-10-03T18:45:00+00:00,1443897900,7,Match Finished,FT,491,Chievo,504,Verona,1,1,draw
62,62,196465,708,2015-10-04T10:30:00+00:00,1443954600,7,Match Finished,FT,511,Empoli,488,Sassuolo,1,0,Empoli
63,63,196466,708,2015-10-04T13:00:00+00:00,1443963600,7,Match Finished,FT,522,Palermo,497,AS Roma,2,4,AS Roma
64,64,196467,708,2015-10-04T13:00:00+00:00,1443963600,7,Match Finished,FT,498,Sampdoria,505,Inter,1,1,draw
65,65,196468,708,2015-10-04T13:00:00+00:00,1443963600,7,Match Finished,FT,494,Udinese,495,Genoa,1,1,draw
66,66,196469,708,2015-10-04T16:00:00+00:00,1443974400,7,Match Finished,FT,496,Juventus,500,Bologna,3,1,Juventus
67,67,196470,708,2015-10-04T16:00:00+00:00,1443974400,7,Match Finished,FT,487,Lazio,512,Frosinone,2,0,Lazio
68,68,196472,708,2015-10-04T18:45:00+00:00,1443984300,7,Match Finished,FT,489,AC Milan,492,Napoli,0,4,Napoli
69,69,196471,708,2015-10-04T18:45:00+00:00,1443984300,7,Match Finished,FT,502,Fiorentina,499,Atalanta,3,0,Fiorentina
70,70,196473,708,2015-10-17T16:00:00+00:00,1445097600,8,Match Finished,FT,497,AS Roma,511,Empoli,3,1,AS Roma
71,71,196474,708,2015-10-17T18:45:00+00:00,1445107500,8,Match Finished,FT,503,Torino,489,AC Milan,1,1,draw
72,72,196475,708,2015-10-18T10:30:00+00:00,1445164200,8,Match Finished,FT,500,Bologna,522,Palermo,0,1,Palermo
73,73,196476,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,499,Atalanta,519,Carpi,3,0,Atalanta
74,74,196477,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,512,Frosinone,498,Sampdoria,2,0,Frosinone
75,75,196478,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,495,Genoa,491,Chievo,3,2,Genoa
76,76,196479,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,504,Verona,494,Udinese,1,1,draw
77,77,196480,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,492,Napoli,502,Fiorentina,2,1,Napoli
78,78,196481,708,2015-10-18T13:00:00+00:00,1445173200,8,Match Finished,FT,488,Sassuolo,487,Lazio,2,1,Sassuolo
79,79,196482,708,2015-10-18T18:45:00+00:00,1445193900,8,Match Finished,FT,505,Inter,496,Juventus,0,0,draw
80,80,196483,708,2015-10-24T13:00:00+00:00,1445691600,9,Match Finished,FT,511,Empoli,495,Genoa,2,0,Empoli
81,81,196484,708,2015-10-24T16:00:00+00:00,1445702400,9,Match Finished,FT,519,Carpi,500,Bologna,1,2,Bologna
82,82,196485,708,2015-10-24T18:45:00+00:00,1445712300,9,Match Finished,FT,522,Palermo,505,Inter,1,1,draw
83,83,196486,708,2015-10-25T10:30:00+00:00,1445769000,9,Match Finished,FT,498,Sampdoria,504,Verona,4,1,Sampdoria
84,84,196487,708,2015-10-25T13:00:00+00:00,1445778000,9,Match Finished,FT,496,Juventus,499,Atalanta,2,0,Juventus
85,85,196488,708,2015-10-25T13:00:00+00:00,1445778000,9,Match Finished,FT,489,AC Milan,488,Sassuolo,2,1,AC Milan
86,86,196489,708,2015-10-25T13:00:00+00:00,1445778000,9,Match Finished,FT,494,Udinese,512,Frosinone,1,0,Udinese
87,87,196490,708,2015-10-25T16:00:00+00:00,1445788800,9,Match Finished,FT,502,Fiorentina,497,AS Roma,1,2,AS Roma
88,88,196491,708,2015-10-25T16:00:00+00:00,1445788800,9,Match Finished,FT,487,Lazio,503,Torino,3,0,Lazio
89,89,196492,708,2015-10-25T18:45:00+00:00,1445798700,9,Match Finished,FT,491,Chievo,492,Napoli,0,1,Napoli
90,90,196493,708,2015-10-27T19:45:00+00:00,1445975100,10,Match Finished,FT,500,Bologna,505,Inter,0,1,Inter
91,91,196494,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,499,Atalanta,487,Lazio,2,1,Atalanta
92,92,196495,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,512,Frosinone,519,Carpi,2,1,Frosinone
93,93,196496,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,504,Verona,502,Fiorentina,0,2,Fiorentina
94,94,196497,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,489,AC Milan,491,Chievo,1,0,AC Milan
95,95,196498,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,492,Napoli,522,Palermo,2,0,Napoli
96,96,196499,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,497,AS Roma,494,Udinese,3,1,AS Roma
97,97,196500,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,488,Sassuolo,496,Juventus,1,0,Sassuolo
98,98,196501,708,2015-10-28T19:45:00+00:00,1446061500,10,Match Finished,FT,503,Torino,495,Genoa,3,3,draw
99,99,196502,708,2015-10-29T19:45:00+00:00,1446147900,10,Match Finished,FT,498,Sampdoria,511,Empoli,1,1,draw
100,100,196503,708,2015-10-31T17:00:00+00:00,1446310800,11,Match Finished,FT,496,Juventus,503,Torino,2,1,Juventus
101,101,196504,708,2015-10-31T19:45:00+00:00,1446320700,11,Match Finished,FT,505,Inter,497,AS Roma,1,0,Inter
102,102,196505,708,2015-11-01T11:30:00+00:00,1446377400,11,Match Finished,FT,502,Fiorentina,512,Frosinone,4,1,Fiorentina
103,103,196506,708,2015-11-01T14:00:00+00:00,1446386400,11,Match Finished,FT,500,Bologna,499,Atalanta,3,0,Bologna
104,104,196507,708,2015-11-01T14:00:00+00:00,1446386400,11,Match Finished,FT,519,Carpi,504,Verona,0,0,draw
105,105,196508,708,2015-11-01T14:00:00+00:00,1446386400,11,Match Finished,FT,495,Genoa,492,Napoli,0,0,draw
106,106,196509,708,2015-11-01T14:00:00+00:00,1446386400,11,Match Finished,FT,494,Udinese,488,Sassuolo,0,0,draw
107,107,196510,708,2015-11-01T19:45:00+00:00,1446407100,11,Match Finished,FT,487,Lazio,489,AC Milan,1,3,AC Milan
108,108,196511,708,2015-11-02T18:00:00+00:00,1446487200,11,Match Finished,FT,491,Chievo,498,Sampdoria,1,1,draw
109,109,196512,708,2015-11-02T20:00:00+00:00,1446494400,11,Match Finished,FT,522,Palermo,511,Empoli,0,1,Empoli
110,110,196513,708,2015-11-07T17:00:00+00:00,1446915600,12,Match Finished,FT,504,Verona,500,Bologna,0,2,Bologna
111,111,196514,708,2015-11-07T19:45:00+00:00,1446925500,12,Match Finished,FT,489,AC Milan,499,Atalanta,0,0,draw
112,112,196515,708,2015-11-08T11:30:00+00:00,1446982200,12,Match Finished,FT,503,Torino,505,Inter,0,1,Inter
113,113,196516,708,2015-11-08T14:00:00+00:00,1446991200,12,Match Finished,FT,511,Empoli,496,Juventus,1,3,Juventus
114,114,196517,708,2015-11-08T14:00:00+00:00,1446991200,12,Match Finished,FT,512,Frosinone,495,Genoa,2,2,draw
115,115,196518,708,2015-11-08T14:00:00+00:00,1446991200,12,Match Finished,FT,522,Palermo,491,Chievo,1,0,Palermo
116,116,196519,708,2015-11-08T14:00:00+00:00,1446991200,12,Match Finished,FT,497,AS Roma,487,Lazio,2,0,AS Roma
117,117,196520,708,2015-11-08T14:00:00+00:00,1446991200,12,Match Finished,FT,488,Sassuolo,519,Carpi,1,0,Sassuolo
118,118,196521,708,2015-11-08T17:00:00+00:00,1447002000,12,Match Finished,FT,492,Napoli,494,Udinese,1,0,Napoli
119,119,196522,708,2015-11-08T19:45:00+00:00,1447011900,12,Match Finished,FT,498,Sampdoria,502,Fiorentina,0,2,Fiorentina
120,120,196523,708,2015-11-21T17:00:00+00:00,1448125200,13,Match Finished,FT,500,Bologna,497,AS Roma,2,2,draw
121,121,196524,708,2015-11-21T19:45:00+00:00,1448135100,13,Match Finished,FT,496,Juventus,489,AC Milan,1,0,Juventus
122,122,196525,708,2015-11-22T11:30:00+00:00,1448191800,13,Match Finished,FT,504,Verona,492,Napoli,0,2,Napoli
123,123,196526,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,499,Atalanta,503,Torino,0,1,Torino
124,124,196527,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,519,Carpi,491,Chievo,1,2,Chievo
125,125,196528,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,502,Fiorentina,511,Empoli,2,2,draw
126,126,196529,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,495,Genoa,488,Sassuolo,2,1,Genoa
127,127,196530,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,487,Lazio,522,Palermo,1,1,draw
128,128,196531,708,2015-11-22T14:00:00+00:00,1448200800,13,Match Finished,FT,494,Udinese,498,Sampdoria,1,0,Udinese
129,129,196532,708,2015-11-22T19:45:00+00:00,1448221500,13,Match Finished,FT,505,Inter,512,Frosinone,4,0,Inter
130,130,196533,708,2015-11-28T17:00:00+00:00,1448730000,14,Match Finished,FT,503,Torino,500,Bologna,2,0,Torino
131,131,196534,708,2015-11-28T19:45:00+00:00,1448739900,14,Match Finished,FT,489,AC Milan,498,Sampdoria,4,1,AC Milan
132,132,196535,708,2015-11-29T14:00:00+00:00,1448805600,14,Match Finished,FT,491,Chievo,494,Udinese,2,3,Udinese
133,133,196536,708,2015-11-29T14:00:00+00:00,1448805600,14,Match Finished,FT,512,Frosinone,504,Verona,3,2,Frosinone
134,134,196537,708,2015-11-29T14:00:00+00:00,1448805600,14,Match Finished,FT,495,Genoa,519,Carpi,1,2,Carpi
135,135,196538,708,2015-11-29T14:00:00+00:00,1448805600,14,Match Finished,FT,497,AS Roma,499,Atalanta,0,2,Atalanta
136,136,196539,708,2015-11-29T17:00:00+00:00,1448816400,14,Match Finished,FT,511,Empoli,487,Lazio,1,0,Empoli
137,137,196540,708,2015-11-29T19:45:00+00:00,1448826300,14,Match Finished,FT,522,Palermo,496,Juventus,0,3,Juventus
138,138,196541,708,2015-11-30T18:00:00+00:00,1448906400,14,Match Finished,FT,488,Sassuolo,502,Fiorentina,1,1,draw
139,139,196542,708,2015-11-30T20:00:00+00:00,1448913600,14,Match Finished,FT,492,Napoli,505,Inter,2,1,Napoli
140,140,196543,708,2015-12-04T19:45:00+00:00,1449258300,15,Match Finished,FT,487,Lazio,496,Juventus,0,2,Juventus
141,141,196544,708,2015-12-05T14:00:00+00:00,1449324000,15,Match Finished,FT,503,Torino,497,AS Roma,1,1,draw
142,142,196545,708,2015-12-05T19:45:00+00:00,1449344700,15,Match Finished,FT,505,Inter,495,Genoa,1,0,Inter
143,143,196546,708,2015-12-06T11:30:00+00:00,1449401400,15,Match Finished,FT,500,Bologna,492,Napoli,3,2,Bologna
144,144,196547,708,2015-12-06T14:00:00+00:00,1449410400,15,Match Finished,FT,499,Atalanta,522,Palermo,3,0,Atalanta
145,145,196548,708,2015-12-06T14:00:00+00:00,1449410400,15,Match Finished,FT,502,Fiorentina,494,Udinese,3,0,Fiorentina
146,146,196549,708,2015-12-06T14:00:00+00:00,1449410400,15,Match Finished,FT,512,Frosinone,491,Chievo,0,2,Chievo
147,147,196550,708,2015-12-06T14:00:00+00:00,1449410400,15,Match Finished,FT,504,Verona,511,Empoli,0,1,Empoli
148,148,196551,708,2015-12-06T17:00:00+00:00,1449421200,15,Match Finished,FT,498,Sampdoria,488,Sassuolo,1,3,Sassuolo
149,149,196552,708,2015-12-06T19:45:00+00:00,1449431100,15,Match Finished,FT,519,Carpi,489,AC Milan,0,0,draw
150,150,196553,708,2015-12-12T14:00:00+00:00,1449928800,16,Match Finished,FT,495,Genoa,500,Bologna,0,1,Bologna
151,151,196554,708,2015-12-12T17:00:00+00:00,1449939600,16,Match Finished,FT,522,Palermo,512,Frosinone,4,1,Palermo
152,152,196555,708,2015-12-12T19:45:00+00:00,1449949500,16,Match Finished,FT,494,Udinese,505,Inter,0,4,Inter
153,153,196556,708,2015-12-13T14:00:00+00:00,1450015200,16,Match Finished,FT,491,Chievo,499,Atalanta,1,0,Chievo
154,154,196557,708,2015-12-13T14:00:00+00:00,1450015200,16,Match Finished,FT,511,Empoli,519,Carpi,3,0,Empoli
155,155,196558,708,2015-12-13T14:00:00+00:00,1450015200,16,Match Finished,FT,489,AC Milan,504,Verona,1,1,draw
156,156,196559,708,2015-12-13T17:00:00+00:00,1450026000,16,Match Finished,FT,492,Napoli,497,AS Roma,0,0,draw
157,157,196560,708,2015-12-13T19:45:00+00:00,1450035900,16,Match Finished,FT,496,Juventus,502,Fiorentina,3,1,Juventus
158,158,196561,708,2015-12-14T19:45:00+00:00,1450122300,16,Match Finished,FT,487,Lazio,498,Sampdoria,1,1,draw
159,159,196563,708,2015-12-19T19:45:00+00:00,1450554300,17,Match Finished,FT,500,Bologna,511,Empoli,2,3,Empoli
160,160,196564,708,2015-12-20T11:30:00+00:00,1450611000,17,Match Finished,FT,519,Carpi,496,Juventus,2,3,Juventus
161,161,196565,708,2015-12-20T14:00:00+00:00,1450620000,17,Match Finished,FT,499,Atalanta,492,Napoli,1,3,Napoli
162,162,196566,708,2015-12-20T14:00:00+00:00,1450620000,17,Match Finished,FT,502,Fiorentina,491,Chievo,2,0,Fiorentina
163,163,196567,708,2015-12-20T14:00:00+00:00,1450620000,17,Match Finished,FT,504,Verona,488,Sassuolo,1,1,draw
164,164,196568,708,2015-12-20T14:00:00+00:00,1450620000,17,Match Finished,FT,497,AS Roma,495,Genoa,2,0,AS Roma
165,165,196569,708,2015-12-20T17:00:00+00:00,1450630800,17,Match Finished,FT,512,Frosinone,489,AC Milan,2,4,AC Milan
166,166,196570,708,2015-12-20T17:00:00+00:00,1450630800,17,Match Finished,FT,498,Sampdoria,522,Palermo,2,0,Sampdoria
167,167,196571,708,2015-12-20T17:00:00+00:00,1450630800,17,Match Finished,FT,503,Torino,494,Udinese,0,1,Udinese
168,168,196572,708,2015-12-20T19:45:00+00:00,1450640700,17,Match Finished,FT,505,Inter,487,Lazio,1,2,Lazio
169,169,196573,708,2016-01-05T19:45:00+00:00,1452023100,18,Match Finished,FT,495,Genoa,498,Sampdoria,2,3,Sampdoria
170,170,196574,708,2016-01-06T11:30:00+00:00,1452079800,18,Match Finished,FT,494,Udinese,499,Atalanta,2,1,Udinese
171,171,196575,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,491,Chievo,497,AS Roma,3,3,draw
172,172,196576,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,496,Juventus,504,Verona,3,0,Juventus
173,173,196577,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,487,Lazio,519,Carpi,0,0,draw
174,174,196578,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,489,AC Milan,500,Bologna,0,1,Bologna
175,175,196579,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,522,Palermo,502,Fiorentina,1,3,Fiorentina
176,176,196580,708,2016-01-06T14:00:00+00:00,1452088800,18,Match Finished,FT,488,Sassuolo,512,Frosinone,2,2,draw
177,177,196581,708,2016-01-06T17:00:00+00:00,1452099600,18,Match Finished,FT,511,Empoli,505,Inter,0,1,Inter
178,178,196582,708,2016-01-06T19:45:00+00:00,1452109500,18,Match Finished,FT,492,Napoli,503,Torino,2,1,Napoli
179,179,196583,708,2016-01-09T14:00:00+00:00,1452348000,19,Match Finished,FT,519,Carpi,494,Udinese,2,1,Carpi
180,180,196584,708,2016-01-09T17:00:00+00:00,1452358800,19,Match Finished,FT,502,Fiorentina,487,Lazio,1,3,Lazio
181,181,196585,708,2016-01-09T19:45:00+00:00,1452368700,19,Match Finished,FT,497,AS Roma,489,AC Milan,1,1,draw
182,182,196586,708,2016-01-10T11:30:00+00:00,1452425400,19,Match Finished,FT,505,Inter,488,Sassuolo,0,1,Sassuolo
