,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,501,Crotone,38,9,7,22,34,58,0.9,1.5
1,487,Lazio,38,21,7,10,74,51,1.9,1.3
2,502,Fiorentina,38,16,12,10,63,57,1.7,1.5
3,525,Pescara,38,3,9,26,37,81,1.0,2.1
4,505,Inter,38,19,5,14,72,49,1.9,1.3
5,494,Udinese,38,12,9,17,47,56,1.2,1.5
6,522,Palermo,38,6,8,24,33,77,0.9,2.0
7,511,Empoli,38,8,8,22,29,61,0.8,1.6
8,503,Torino,38,13,14,11,71,66,1.9,1.7
9,488,Sassuolo,38,13,7,18,58,63,1.5,1.7
10,497,AS Roma,38,28,3,7,90,38,2.4,1.0
11,495,Genoa,38,9,9,20,38,64,1.0,1.7
12,498,Sampdoria,38,12,12,14,49,55,1.3,1.4
13,492,Napoli,38,26,8,4,94,39,2.5,1.0
14,490,Cagliari,38,14,5,19,55,76,1.4,2.0
15,489,AC Milan,38,18,9,11,57,45,1.5,1.2
16,499,Atalanta,38,21,9,8,62,41,1.6,1.1
17,491,Chievo,38,12,7,19,43,61,1.1,1.6
18,500,Bologna,38,11,8,19,40,58,1.1,1.5
19,496,Juventus,38,29,4,5,77,27,2.0,0.7
