Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
3,P,RADUNOVIC,Verona,3,5.83,3,0,8,0,0,0,0,0,0,1,0,0
4,P,SPORTIELLO,Atalanta,6,6.17,5.33,0,5,0,0,0,0,0,0,0,0,0
5,D,ALMICI,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,D,CONTI,Milan,23,5.69,5.6,0,0,0,0,0,0,2,0,8,0,0
15,D,MASIELLO,Genoa,22,5.8,5.73,0,0,0,0,0,0,1,0,5,0,0
20,C,CIGARINI,Cagliari,22,6.02,5.98,0,0,0,0,0,0,1,2,6,1,0
21,C,D'ALESSANDRO,SPAL,15,5.87,6.2,2,0,0,0,0,0,0,0,0,1,0
22,C,DE ROON,Atalanta,35,5.97,6.06,2,0,0,0,0,0,5,0,12,0,1
26,C,GOMEZ,Atalanta,36,6.71,7.62,7,0,0,0,0,0,12,1,2,0,0
27,C,GRASSI,Parma,16,5.93,6,1,0,0,0,0,0,1,0,6,0,0
28,C,KURTIC,Parma,36,5.92,6.14,4,0,0,0,0,0,1,0,10,0,0
40,P,DA COSTA,Bologna,1,6,5,0,1,0,0,0,0,0,0,0,0,0
41,P,MIRANTE,Roma,5,6.5,5.5,0,5,0,0,0,0,0,0,0,0,0
42,P,SARR M.,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,D,FERRARI A.,Sampdoria,12,5.83,5.67,0,0,0,0,0,0,0,0,4,0,0
47,D,GASTALDELLO,Brescia,8,5.5,5.43,0,0,0,0,0,0,0,0,1,0,0
50,D,MBAYE,Bologna,20,5.63,5.61,0,0,0,0,0,0,2,0,5,0,0
54,D,ROSSETTINI,Lecce,26,5.67,5.62,0,0,0,0,0,0,1,0,5,0,0
57,C,CRISETIG,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,C,DIAWARA,Roma,22,6.02,6.08,0,0,0,1,1,0,0,0,4,0,0
60,C,RIZZO,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,C,MANCOSU,Lecce,33,6.09,7.2,5,0,0,11,9,2,2,0,3,0,0
73,D,GAGLIOLO,Parma,32,6,6.27,3,0,0,0,0,0,2,1,7,0,0
81,C,DI GAUDIO,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,D,MARRONE,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,A,LASAGNA,Udinese,36,5.86,6.71,10,0,0,0,0,0,1,0,1,0,0
92,A,MATOS,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,P,SECULIN,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,D,CACCIATORE,Cagliari,16,5.67,5.57,0,0,0,0,0,0,0,0,1,1,0
106,D,MATTIELLO,Cagliari,18,6,5.97,0,0,0,0,0,0,1,0,3,0,0
111,C,BIRSA,Cagliari,13,5.72,5.67,0,0,0,0,0,0,0,0,1,0,0
112,C,CASTRO,SPAL,22,5.95,6.19,2,0,0,0,0,0,0,0,2,0,0
118,C,RADOVANOVIC,Genoa,19,5.84,5.75,0,0,0,0,0,0,0,0,3,0,0
123,A,INGLESE,Parma,17,5.81,6.34,4,0,0,1,0,1,0,0,1,0,0
126,A,PALOSCHI,Cagliari,17,5.54,5.54,0,0,0,0,0,0,0,0,0,0,0
133,P,SKORUPSKI,Bologna,37,5.99,4.31,0,64,1,0,0,0,0,0,2,0,0
139,D,DERMAKU,Parma,16,6.07,6,0,0,0,0,0,0,0,0,2,0,0
140,D,HYSAJ,Napoli,20,5.87,6.05,1,0,0,0,0,0,2,0,3,0,0
141,D,LAURINI,Parma,15,5.73,5.73,0,0,0,0,0,0,2,0,4,0,0
142,D,MARIO RUI,Napoli,24,5.85,5.74,0,0,0,0,0,0,1,1,9,0,0
144,D,TONELLI,Sampdoria,9,5.83,5.61,0,0,0,0,0,0,0,0,4,0,0
148,C,KRUNIC,Milan,15,5.77,5.73,0,0,0,0,0,0,1,0,3,0,0
150,C,SAPONARA,Lecce,17,6,6.47,2,0,0,0,0,0,3,0,3,0,0
152,C,ZIELINSKI,Napoli,37,5.99,6.18,2,0,0,0,0,0,3,0,4,0,0
159,P,SEPE,Parma,34,6.26,4.96,0,53,3,0,0,0,0,0,1,0,0
169,D,TOMOVIC,SPAL,23,5.52,5.31,0,0,0,0,0,0,1,0,5,1,1
170,C,BADELJ,Fiorentina,22,5.65,5.72,1,0,0,0,0,0,0,0,1,1,0
172,C,BORJA VALERO,Inter,19,6.1,6.4,2,0,0,0,0,0,0,0,4,0,0
173,C,CAPEZZI,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,A,ILICIC,Atalanta,26,6.56,8.46,15,0,0,0,0,0,3,1,1,1,0
179,C,PETRICCIONE,Lecce,31,5.92,5.85,0,0,0,0,0,0,3,0,10,0,0
181,C,VECINO,Inter,20,5.97,6.25,2,0,0,0,0,0,1,0,4,0,0
183,A,BABACAR,Lecce,25,5.67,5.71,3,0,0,2,0,2,0,0,4,0,0
184,C,BERNARDESCHI,Juventus,29,5.5,5.56,1,0,0,0,0,0,1,0,6,0,0
186,A,REBIC,Milan,26,6.3,7.8,11,0,0,0,0,0,2,0,5,0,0
216,P,DONNARUMMA AN.,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,P,PERIN,Genoa,21,6.12,4.29,0,38,0,0,0,0,0,0,1,0,0
220,P,UJKANI,Torino,1,6.5,3.5,0,3,0,0,0,0,0,0,0,0,0
224,D,DE MAIO,Udinese,21,5.89,5.86,0,0,0,0,0,0,0,0,1,0,0
226,D,IZZO,Torino,31,5.79,5.74,1,0,0,0,0,0,0,0,5,2,0
234,C,KUCKA,Parma,26,6.02,6.67,4,0,0,2,2,0,2,0,4,1,0
235,C,LAXALT,Milan,20,5.67,5.63,0,0,0,0,0,0,1,0,4,0,0
236,C,LAZOVIC,Verona,38,6.2,6.57,3,0,0,0,0,0,7,0,4,0,0
237,C,PEROTTI,Roma,21,6.03,7,1,0,0,4,4,0,2,1,3,1,0
238,C,RINCON,Torino,32,5.87,5.85,1,0,0,0,0,0,2,0,11,0,0
241,C,TACHTSIDIS,Lecce,28,5.54,5.48,0,0,0,0,0,0,2,0,5,1,0
244,D,GHIGLIONE,Genoa,25,5.91,6.04,0,0,0,0,0,0,5,0,4,0,0
245,A,PANDEV,Genoa,34,6.28,7.19,9,0,0,0,0,0,2,0,4,1,0
247,A,PAVOLETTI,Cagliari,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
248,P,BERNI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,P,HANDANOVIC,Inter,35,6.16,5.3,0,32,1,0,0,0,0,0,2,0,0
252,D,BIRAGHI,Inter,25,5.98,6.43,2,0,0,0,0,0,6,0,3,0,0
253,D,D'AMBROSIO,Inter,22,6.08,6.58,4,0,0,0,0,0,0,0,6,0,0
254,D,DIMARCO,Verona,16,6,5.94,0,0,0,0,0,0,1,1,1,0,1
256,D,JUAN JESUS,Roma,4,5,4.67,0,0,0,0,0,0,0,0,2,0,0
259,D,MURILLO,Sampdoria,10,5.5,5.33,0,0,0,0,0,0,0,0,1,1,0
261,D,RANOCCHIA,Inter,7,6.21,6,0,0,0,0,0,0,0,0,3,0,0
262,D,SANTON,Roma,15,5.73,5.59,0,0,0,0,0,0,0,0,4,0,0
264,C,BESSA,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,C,BROZOVIC,Inter,32,6.28,6.58,3,0,0,0,0,0,5,0,9,0,0
272,C,MEDEL,Bologna,23,5.91,5.65,0,0,0,0,0,0,0,0,10,1,0
277,A,ICARDI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,A,PALACIO,Bologna,35,6.09,6.72,7,0,0,0,0,0,3,0,5,0,0
281,A,PUSCAS,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,P,BUFFON,Juventus,9,6.11,5,0,10,0,0,0,0,0,0,0,0,0
286,D,BONUCCI,Juventus,35,6.27,6.4,3,0,0,0,0,0,0,0,9,0,0
287,D,CACERES,Fiorentina,27,5.98,5.91,1,0,0,0,0,0,0,0,8,1,0
288,D,CHIELLINI,Juventus,4,6.12,6.88,1,0,0,0,0,0,0,0,0,0,0
294,D,RUGANI,Juventus,10,5.31,5.19,0,0,0,0,0,0,0,0,2,0,0
295,D,ASAMOAH,Inter,8,6.12,6.19,0,0,0,0,0,0,1,0,1,0,0
299,C,KHEDIRA,Juventus,12,5.92,5.88,0,0,0,0,0,0,1,0,3,0,0
305,C,STURARO,Genoa,16,5.78,5.81,1,0,0,0,0,0,1,0,7,0,0
306,A,CERRI,SPAL,19,5.73,6.07,2,0,0,0,0,0,0,0,2,0,0
309,A,DYBALA,Juventus,33,6.67,7.84,10,0,0,1,1,0,5,2,5,0,0
311,A,LLORENTE,Napoli,17,6.05,6.91,3,0,0,0,0,0,1,0,1,0,0
312,A,MANDZUKIC,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,A,ZAZA,Torino,24,5.87,6.54,6,0,0,0,0,0,1,0,7,0,0
316,P,BERISHA E.,SPAL,26,6.31,4.6,0,44,0,0,0,0,0,0,1,0,0
317,P,GUERRIERI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,P,MARCHETTI,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,D,DE VRIJ,Inter,34,6.29,6.6,4,0,0,0,0,0,1,0,5,0,0
327,D,PATRIC,Lazio,21,5.83,5.74,0,0,0,0,0,0,0,0,2,1,0
329,D,RADU,Lazio,29,5.93,5.9,1,0,0,0,0,0,0,0,8,0,0
331,C,BIGLIA,Milan,14,5.39,5.28,0,0,0,0,0,0,1,0,4,0,0
332,C,CANDREVA,Inter,32,6.22,6.87,5,0,0,0,0,0,5,2,5,0,0
333,C,CATALDI,Lazio,21,6.09,6.22,1,0,0,0,0,0,0,0,3,0,0
338,C,LULIC,Lazio,20,5.95,5.9,0,0,0,0,0,0,2,0,6,0,0
342,C,PAROLO,Lazio,29,5.86,5.82,1,0,0,0,0,0,0,0,8,0,0
350,P,DONNARUMMA G.,Milan,36,6.26,5.39,0,42,4,0,0,0,0,0,3,0,0
357,D,CALABRIA,Milan,25,5.76,5.8,1,0,0,0,0,0,1,0,2,2,0
358,D,DE SCIGLIO,Juventus,9,6,5.93,0,0,0,0,0,0,0,0,1,0,0
365,D,ZAPATA C.,Genoa,20,5.66,5.61,1,0,0,0,0,0,0,0,4,0,1
366,C,BERTOLACCI,Sampdoria,12,5.95,5.8,0,0,0,0,0,0,0,0,3,0,0
367,C,BONAVENTURA,Milan,29,6.12,6.62,3,0,0,0,0,0,5,0,2,0,0
374,C,POLI,Bologna,28,5.91,6.04,2,0,0,0,0,0,0,0,5,0,0
375,C,SUSO,Milan,16,5.72,5.97,1,0,0,0,0,0,2,0,2,0,0
376,C,VERDI,Torino,33,5.89,6.2,2,0,0,0,0,0,3,3,4,0,0
380,A,MATRI,Sassuolo,8,5.67,5.33,0,0,0,0,0,0,0,0,1,1,0
383,A,PETAGNA,SPAL,36,5.93,6.72,7,0,0,7,5,2,1,0,5,0,0
385,P,GABRIEL,Lecce,34,6.24,4.06,0,76,2,0,0,0,0,0,4,0,1
386,P,RAFAEL CABRAL,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,P,REINA,Milan,1,6.5,8.5,0,1,1,0,0,0,0,0,0,0,0
390,D,GHOULAM,Napoli,9,5.94,5.94,0,0,0,0,0,0,0,1,2,0,0
392,D,KOULIBALY,Napoli,25,5.88,5.62,0,0,0,0,0,0,0,0,7,1,1
393,D,LUPERTO,Napoli,9,5.64,5.5,0,0,0,0,0,0,0,0,2,0,0
395,D,STRINIC,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,C,ALLAN,Napoli,23,5.91,6.26,2,0,0,0,0,0,1,0,3,0,0
405,C,VALDIFIORI,SPAL,22,5.79,5.81,0,0,0,0,0,0,2,1,5,0,0
406,C,CALLEJON,Napoli,33,5.95,6.52,4,0,0,0,0,0,6,1,2,0,0
407,A,GABBIADINI,Sampdoria,33,6.09,7.12,10,0,0,1,1,0,1,0,2,0,0
408,A,HIGUAIN,Juventus,32,6.08,6.95,8,0,0,0,0,0,3,0,2,0,0
409,A,INSIGNE,Napoli,37,6.19,6.93,3,0,0,5,5,0,2,2,1,0,0
410,A,MERTENS,Napoli,31,6.18,7.16,9,0,0,0,0,0,6,0,5,0,0
412,P,COLOMBI,Parma,4,6.25,5.25,0,4,0,0,0,0,0,0,0,0,0
418,D,GOLDANIGA,Genoa,13,5.59,5.68,1,0,0,0,0,0,0,0,4,0,0
423,D,RISPOLI,Lecce,28,5.66,5.54,0,0,0,0,0,0,0,0,6,0,0
430,C,BRUGMAN,Parma,22,6,5.95,0,0,0,0,0,0,1,0,5,0,0
433,C,HILJEMARK,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,C,JAJALO,Udinese,26,5.94,5.77,0,0,0,0,0,0,0,0,6,1,0
438,C,RIGONI L,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,A,BELOTTI,Torino,36,6.16,7.41,9,0,0,8,7,1,3,0,4,0,1
447,A,LA GUMINA,Sampdoria,5,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
453,P,SZCZESNY,Juventus,29,6.19,5.14,0,33,1,0,0,0,0,0,1,0,0
454,D,CAPRADOSSI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,D,CRESCENZI,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,D,MANOLAS,Napoli,26,5.98,6.42,4,0,0,0,0,0,0,0,2,0,0
460,D,ROMAGNOLI,Milan,35,6.11,6.14,1,0,0,0,0,0,0,0,4,0,0
464,D,FLORENZI,Roma,14,6,5.88,0,0,0,0,0,0,1,0,5,0,0
467,C,NAINGGOLAN,Cagliari,26,6.4,7.19,6,0,0,0,0,0,5,0,5,0,0
469,C,PJANIC,Juventus,30,6.22,6.53,3,0,0,0,0,0,3,2,10,0,0
472,A,DESTRO,Genoa,13,5.67,5.61,0,0,0,0,0,0,0,0,2,0,0
474,A,GERVINHO,Parma,31,5.95,6.63,7,0,0,1,0,1,4,0,3,0,0
475,A,IAGO FALQUE,Genoa,14,5.85,6.08,0,0,0,3,2,1,0,0,0,0,0
479,A,SANABRIA,Genoa,24,6,6.8,6,0,0,0,0,0,2,0,3,0,0
487,D,DE SILVESTRI,Torino,29,5.77,5.73,0,0,0,0,0,0,0,0,2,0,0
490,D,REGINI,Parma,5,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
491,D,SALAMON,SPAL,7,5.6,5.5,0,0,0,0,0,0,0,0,1,0,0
493,D,ZUKANOVIC,SPAL,3,5.67,5.5,0,0,0,0,0,0,0,0,1,0,0
494,C,BARRETO,Sampdoria,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
495,A,CORREA,Lazio,30,6.27,7.13,9,0,0,1,0,1,2,0,0,0,0
505,A,BONAZZOLI,Sampdoria,19,6.22,7.19,6,0,0,0,0,0,0,0,1,0,0
507,A,MURIEL,Atalanta,34,6.32,7.98,12,0,0,7,6,1,1,0,1,0,0
509,P,CONSIGLI,Sassuolo,31,6.11,4.42,0,55,1,0,0,0,0,0,1,0,0
510,P,PEGOLO,Sassuolo,5,6.7,5.9,0,4,0,0,0,0,0,0,0,0,0
513,D,ACERBI,Lazio,36,6.26,6.43,2,0,0,0,0,0,2,0,4,0,0
517,D,DELL'ORCO,Lecce,13,5.46,5.46,0,0,0,0,0,0,1,0,0,1,0
519,D,GAZZOLA,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,D,PELUSO,Sassuolo,23,5.4,5.28,0,0,0,0,0,0,1,0,5,1,0
526,C,DUNCAN,Fiorentina,26,6.08,6.44,2,0,0,0,0,0,5,0,5,0,0
528,C,MAGNANELLI,Sassuolo,22,5.94,5.79,0,0,0,0,0,0,0,0,5,0,0
529,C,MISSIROLI,SPAL,34,5.82,5.81,1,0,0,0,0,0,0,0,7,0,0
530,C,PELLEGRINI LO.,Roma,27,6.2,6.5,1,0,0,0,0,0,7,2,6,1,0
531,A,BERARDI,Sassuolo,31,6.5,7.85,12,0,0,3,2,1,7,0,6,1,0
532,A,FALCINELLI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,A,FLOCCARI,SPAL,24,5.65,5.74,1,0,0,0,0,0,0,0,3,0,0
536,A,POLITANO,Napoli,26,5.93,6.27,2,0,0,0,0,0,0,2,1,0,0
537,A,SANSONE,Bologna,33,5.75,6.02,1,0,0,4,3,1,1,1,5,0,0
540,P,GOMIS A,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,P,ICHAZO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P,PADELLI,Inter,3,5.33,4,0,4,0,0,0,0,0,0,0,0,0
