,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
25,90,A,LASAGNA,Udinese,36,5.86,6.71,10,0,0,0,0,0,1,0,1,0,0
26,92,A,MATOS,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
33,123,A,INGLESE,Parma,17,5.81,6.34,4,0,0,1,0,1,0,0,1,0,0
34,126,A,PALOSCHI,Cagliari,17,5.54,5.54,0,0,0,0,0,0,0,0,0,0,0
49,177,A,ILICIC,Atalanta,26,6.56,8.46,15,0,0,0,0,0,3,1,1,1,0
52,183,A,BABACAR,Lecce,25,5.67,5.71,3,0,0,2,0,2,0,0,4,0,0
54,186,A,REBIC,Milan,26,6.3,7.8,11,0,0,0,0,0,2,0,5,0,0
67,245,A,PANDEV,Genoa,34,6.28,7.19,9,0,0,0,0,0,2,0,4,1,0
68,247,A,PAVOLETTI,Cagliari,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
81,277,A,ICARDI,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
82,280,A,PALACIO,Bologna,35,6.09,6.72,7,0,0,0,0,0,3,0,5,0,0
83,281,A,PUSCAS,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
92,306,A,CERRI,SPAL,19,5.73,6.07,2,0,0,0,0,0,0,0,2,0,0
93,309,A,DYBALA,Juventus,33,6.67,7.84,10,0,0,1,1,0,5,2,5,0,0
94,311,A,LLORENTE,Napoli,17,6.05,6.91,3,0,0,0,0,0,1,0,1,0,0
95,312,A,MANDZUKIC,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
96,315,A,ZAZA,Torino,24,5.87,6.54,6,0,0,0,0,0,1,0,7,0,0
117,380,A,MATRI,Sassuolo,8,5.67,5.33,0,0,0,0,0,0,0,0,1,1,0
118,383,A,PETAGNA,SPAL,36,5.93,6.72,7,0,0,7,5,2,1,0,5,0,0
129,407,A,GABBIADINI,Sampdoria,33,6.09,7.12,10,0,0,1,1,0,1,0,2,0,0
130,408,A,HIGUAIN,Juventus,32,6.08,6.95,8,0,0,0,0,0,3,0,2,0,0
131,409,A,INSIGNE,Napoli,37,6.19,6.93,3,0,0,5,5,0,2,2,1,0,0
132,410,A,MERTENS,Napoli,31,6.18,7.16,9,0,0,0,0,0,6,0,5,0,0
140,441,A,BELOTTI,Torino,36,6.16,7.41,9,0,0,8,7,1,3,0,4,0,1
141,447,A,LA GUMINA,Sampdoria,5,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
150,472,A,DESTRO,Genoa,13,5.67,5.61,0,0,0,0,0,0,0,0,2,0,0
151,474,A,GERVINHO,Parma,31,5.95,6.63,7,0,0,1,0,1,4,0,3,0,0
152,475,A,IAGO FALQUE,Genoa,14,5.85,6.08,0,0,0,3,2,1,0,0,0,0,0
153,479,A,SANABRIA,Genoa,24,6.0,6.8,6,0,0,0,0,0,2,0,3,0,0
159,495,A,CORREA,Lazio,30,6.27,7.13,9,0,0,1,0,1,2,0,0,0,0
160,505,A,BONAZZOLI,Sampdoria,19,6.22,7.19,6,0,0,0,0,0,0,0,1,0,0
161,507,A,MURIEL,Atalanta,34,6.32,7.98,12,0,0,7,6,1,1,0,1,0,0
172,531,A,BERARDI,Sassuolo,31,6.5,7.85,12,0,0,3,2,1,7,0,6,1,0
173,532,A,FALCINELLI,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
174,533,A,FLOCCARI,SPAL,24,5.65,5.74,1,0,0,0,0,0,0,0,3,0,0
175,536,A,POLITANO,Napoli,26,5.93,6.27,2,0,0,0,0,0,0,2,1,0,0
