,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
5,20,C,CIGARINI,Cagliari,22,6.02,5.98,0,0,0,0,0,0,1,2,6,1,0
6,21,C,D'ALESSANDRO,SPAL,15,5.87,6.2,2,0,0,0,0,0,0,0,0,1,0
7,22,C,DE ROON,Atalanta,35,5.97,6.06,2,0,0,0,0,0,5,0,12,0,1
8,26,C,GOMEZ,Atalanta,36,6.71,7.62,7,0,0,0,0,0,12,1,2,0,0
9,27,C,GRASSI,Parma,16,5.93,6.0,1,0,0,0,0,0,1,0,6,0,0
10,28,C,KURTIC,Parma,36,5.92,6.14,4,0,0,0,0,0,1,0,10,0,0
18,57,C,CRISETIG,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19,58,C,DIAWARA,Roma,22,6.02,6.08,0,0,0,1,1,0,0,0,4,0,0
20,60,C,RIZZO,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
21,65,C,MANCOSU,Lecce,33,6.09,7.2,5,0,0,11,9,2,2,0,3,0,0
23,81,C,DI GAUDIO,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
30,111,C,BIRSA,Cagliari,13,5.72,5.67,0,0,0,0,0,0,0,0,1,0,0
31,112,C,CASTRO,SPAL,22,5.95,6.19,2,0,0,0,0,0,0,0,2,0,0
32,118,C,RADOVANOVIC,Genoa,19,5.84,5.75,0,0,0,0,0,0,0,0,3,0,0
41,148,C,KRUNIC,Milan,15,5.77,5.73,0,0,0,0,0,0,1,0,3,0,0
42,150,C,SAPONARA,Lecce,17,6.0,6.47,2,0,0,0,0,0,3,0,3,0,0
43,152,C,ZIELINSKI,Napoli,37,5.99,6.18,2,0,0,0,0,0,3,0,4,0,0
46,170,C,BADELJ,Fiorentina,22,5.65,5.72,1,0,0,0,0,0,0,0,1,1,0
47,172,C,BORJA VALERO,Inter,19,6.1,6.4,2,0,0,0,0,0,0,0,4,0,0
48,173,C,CAPEZZI,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50,179,C,PETRICCIONE,Lecce,31,5.92,5.85,0,0,0,0,0,0,3,0,10,0,0
51,181,C,VECINO,Inter,20,5.97,6.25,2,0,0,0,0,0,1,0,4,0,0
53,184,C,BERNARDESCHI,Juventus,29,5.5,5.56,1,0,0,0,0,0,1,0,6,0,0
60,234,C,KUCKA,Parma,26,6.02,6.67,4,0,0,2,2,0,2,0,4,1,0
61,235,C,LAXALT,Milan,20,5.67,5.63,0,0,0,0,0,0,1,0,4,0,0
62,236,C,LAZOVIC,Verona,38,6.2,6.57,3,0,0,0,0,0,7,0,4,0,0
63,237,C,PEROTTI,Roma,21,6.03,7.0,1,0,0,4,4,0,2,1,3,1,0
64,238,C,RINCON,Torino,32,5.87,5.85,1,0,0,0,0,0,2,0,11,0,0
65,241,C,TACHTSIDIS,Lecce,28,5.54,5.48,0,0,0,0,0,0,2,0,5,1,0
78,264,C,BESSA,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
79,265,C,BROZOVIC,Inter,32,6.28,6.58,3,0,0,0,0,0,5,0,9,0,0
80,272,C,MEDEL,Bologna,23,5.91,5.65,0,0,0,0,0,0,0,0,10,1,0
90,299,C,KHEDIRA,Juventus,12,5.92,5.88,0,0,0,0,0,0,1,0,3,0,0
91,305,C,STURARO,Genoa,16,5.78,5.81,1,0,0,0,0,0,1,0,7,0,0
103,331,C,BIGLIA,Milan,14,5.39,5.28,0,0,0,0,0,0,1,0,4,0,0
104,332,C,CANDREVA,Inter,32,6.22,6.87,5,0,0,0,0,0,5,2,5,0,0
105,333,C,CATALDI,Lazio,21,6.09,6.22,1,0,0,0,0,0,0,0,3,0,0
106,338,C,LULIC,Lazio,20,5.95,5.9,0,0,0,0,0,0,2,0,6,0,0
107,342,C,PAROLO,Lazio,29,5.86,5.82,1,0,0,0,0,0,0,0,8,0,0
112,366,C,BERTOLACCI,Sampdoria,12,5.95,5.8,0,0,0,0,0,0,0,0,3,0,0
113,367,C,BONAVENTURA,Milan,29,6.12,6.62,3,0,0,0,0,0,5,0,2,0,0
114,374,C,POLI,Bologna,28,5.91,6.04,2,0,0,0,0,0,0,0,5,0,0
115,375,C,SUSO,Milan,16,5.72,5.97,1,0,0,0,0,0,2,0,2,0,0
116,376,C,VERDI,Torino,33,5.89,6.2,2,0,0,0,0,0,3,3,4,0,0
126,397,C,ALLAN,Napoli,23,5.91,6.26,2,0,0,0,0,0,1,0,3,0,0
127,405,C,VALDIFIORI,SPAL,22,5.79,5.81,0,0,0,0,0,0,2,1,5,0,0
128,406,C,CALLEJON,Napoli,33,5.95,6.52,4,0,0,0,0,0,6,1,2,0,0
136,430,C,BRUGMAN,Parma,22,6.0,5.95,0,0,0,0,0,0,1,0,5,0,0
137,433,C,HILJEMARK,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
138,434,C,JAJALO,Udinese,26,5.94,5.77,0,0,0,0,0,0,0,0,6,1,0
139,438,C,RIGONI L,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
148,467,C,NAINGGOLAN,Cagliari,26,6.4,7.19,6,0,0,0,0,0,5,0,5,0,0
149,469,C,PJANIC,Juventus,30,6.22,6.53,3,0,0,0,0,0,3,2,10,0,0
158,494,C,BARRETO,Sampdoria,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
168,526,C,DUNCAN,Fiorentina,26,6.08,6.44,2,0,0,0,0,0,5,0,5,0,0
169,528,C,MAGNANELLI,Sassuolo,22,5.94,5.79,0,0,0,0,0,0,0,0,5,0,0
170,529,C,MISSIROLI,SPAL,34,5.82,5.81,1,0,0,0,0,0,0,0,7,0,0
171,530,C,PELLEGRINI LO.,Roma,27,6.2,6.5,1,0,0,0,0,0,7,2,6,1,0
183,556,C,BASELLI,Torino,16,5.94,5.97,0,0,0,0,0,0,1,1,3,0,0
184,557,C,BENASSI,Fiorentina,18,5.84,6.09,1,0,0,0,0,0,1,0,1,0,0
191,589,C,BADU,Verona,10,5.5,5.25,0,0,0,0,0,0,0,0,2,0,0
192,600,C,VERRE,Verona,32,5.95,6.25,1,0,0,2,2,0,2,0,4,0,0
198,621,C,ROMULO,Brescia,23,5.8,6.0,1,0,0,0,0,0,3,0,3,0,0
199,627,C,IONITA,Cagliari,34,5.7,5.66,0,0,0,0,0,0,2,0,6,0,0
201,631,C,VIVIANI,SPAL,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
202,632,C,ZACCAGNI,Verona,34,6.11,6.36,2,0,0,0,0,0,5,0,5,0,0
203,633,C,FARES,SPAL,8,5.56,5.44,0,0,0,0,0,0,0,0,2,0,0
208,644,C,PULGAR,Fiorentina,37,6.09,6.64,0,0,0,8,7,1,0,6,9,0,0
209,645,C,MILINKOVIC-SAVIC,Lazio,37,6.19,6.72,7,0,0,0,0,0,3,0,9,0,0
214,661,C,INIGUEZ,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
216,666,C,MACHIN,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
217,669,C,DONSAH,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
