,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
2,5,D,ALMICI,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3,11,D,CONTI,Milan,23,5.69,5.6,0,0,0,0,0,0,2,0,8,0,0
4,15,D,MASIELLO,Genoa,22,5.8,5.73,0,0,0,0,0,0,1,0,5,0,0
14,45,D,FERRARI A.,Sampdoria,12,5.83,5.67,0,0,0,0,0,0,0,0,4,0,0
15,47,D,GASTALDELLO,Brescia,8,5.5,5.43,0,0,0,0,0,0,0,0,1,0,0
16,50,D,MBAYE,Bologna,20,5.63,5.61,0,0,0,0,0,0,2,0,5,0,0
17,54,D,ROSSETTINI,Lecce,26,5.67,5.62,0,0,0,0,0,0,1,0,5,0,0
22,73,D,GAGLIOLO,Parma,32,6.0,6.27,3,0,0,0,0,0,2,1,7,0,0
24,84,D,MARRONE,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
28,99,D,CACCIATORE,Cagliari,16,5.67,5.57,0,0,0,0,0,0,0,0,1,1,0
29,106,D,MATTIELLO,Cagliari,18,6.0,5.97,0,0,0,0,0,0,1,0,3,0,0
36,139,D,DERMAKU,Parma,16,6.07,6.0,0,0,0,0,0,0,0,0,2,0,0
37,140,D,HYSAJ,Napoli,20,5.87,6.05,1,0,0,0,0,0,2,0,3,0,0
38,141,D,LAURINI,Parma,15,5.73,5.73,0,0,0,0,0,0,2,0,4,0,0
39,142,D,MARIO RUI,Napoli,24,5.85,5.74,0,0,0,0,0,0,1,1,9,0,0
40,144,D,TONELLI,Sampdoria,9,5.83,5.61,0,0,0,0,0,0,0,0,4,0,0
45,169,D,TOMOVIC,SPAL,23,5.52,5.31,0,0,0,0,0,0,1,0,5,1,1
58,224,D,DE MAIO,Udinese,21,5.89,5.86,0,0,0,0,0,0,0,0,1,0,0
59,226,D,IZZO,Torino,31,5.79,5.74,1,0,0,0,0,0,0,0,5,2,0
66,244,D,GHIGLIONE,Genoa,25,5.91,6.04,0,0,0,0,0,0,5,0,4,0,0
71,252,D,BIRAGHI,Inter,25,5.98,6.43,2,0,0,0,0,0,6,0,3,0,0
72,253,D,D'AMBROSIO,Inter,22,6.08,6.58,4,0,0,0,0,0,0,0,6,0,0
73,254,D,DIMARCO,Verona,16,6.0,5.94,0,0,0,0,0,0,1,1,1,0,1
