team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
AC Milan;590;247;24;320;7.10
Inter;656;353;30;273;7.05
Udinese;557;210;33;317;6.97
Napoli;522;241;32;250;6.94
Chievo;510;248;22;241;6.90
Udinese;574;270;37;269;6.89
AS Roma;601;288;26;288;6.89
Lazio;562;281;30;254;6.88
Palermo;612;268;24;323;6.87
Genoa;538;245;45;249;6.86
Cagliari;488;226;21;241;6.82
Parma;471;210;27;237;6.81
Cesena;464;247;15;204;6.77
Fiorentina;542;275;27;241;6.77
Brescia;497;258;25;215;6.77
Lecce;469;207;31;232;6.76
Catania;522;264;24;234;6.76
Sampdoria;455;224;26;205;6.75
Bologna;440;229;18;196;6.74
Bari;423;228;19;177;6.68
