team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
AS Roma;592;282;35;275;7.09
Juventus;601;286;36;279;7.09
Inter;551;247;48;256;7.03
Napoli;578;283;25;270;7.00
Fiorentina;579;290;33;256;6.96
Parma;496;196;38;262;6.90
AC Milan;617;327;29;261;6.88
Lazio;540;282;40;218;6.87
Torino;498;240;23;235;6.86
Udinese;486;239;27;220;6.86
Verona;457;198;18;241;6.84
Atalanta;447;204;25;218;6.83
Sampdoria;524;296;27;201;6.82
Genoa;375;160;33;182;6.79
Bologna;498;267;18;213;6.75
Catania;487;237;15;235;6.74
Cagliari;470;258;19;193;6.71
Sassuolo;493;255;19;219;6.70
Chievo;410;194;24;192;6.69
Livorno;487;299;16;172;6.66
