,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
0,0,232528,891,2019-08-24T16:00:00+00:00,1566662400,1,Match Finished,FT,523,Parma,496,Juventus,0,1,Juventus
1,1,232525,891,2019-08-24T18:45:00+00:00,1566672300,1,Match Finished,FT,502,Fiorentina,492,Napoli,3,4,Napoli
2,2,232533,891,2019-08-25T16:00:00+00:00,1566748800,1,Match Finished,FT,494,Udinese,489,AC Milan,1,0,Udinese
3,3,232524,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,490,Cagliari,518,Brescia,0,1,Brescia
4,4,232526,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,504,Verona,500,Bologna,1,1,draw
5,5,232529,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,497,AS Roma,495,Genoa,3,3,draw
6,6,232530,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,498,Sampdoria,487,Lazio,0,3,Lazio
7,7,232531,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,493,Spal,499,Atalanta,2,3,Atalanta
8,8,232532,891,2019-08-25T18:45:00+00:00,1566758700,1,Match Finished,FT,503,Torino,488,Sassuolo,2,1,Torino
9,9,232527,891,2019-08-26T18:45:00+00:00,1566845100,1,Match Finished,FT,505,Inter,867,Lecce,4,0,Inter
10,10,232535,891,2019-08-30T18:45:00+00:00,1567190700,2,Match Finished,FT,500,Bologna,493,Spal,1,0,Bologna
11,11,232541,891,2019-08-31T16:00:00+00:00,1567267200,2,Match Finished,FT,489,AC Milan,518,Brescia,1,0,AC Milan
12,12,232538,891,2019-08-31T18:45:00+00:00,1567277100,2,Match Finished,FT,496,Juventus,492,Napoli,4,3,Juventus
13,13,232539,891,2019-09-01T16:00:00+00:00,1567353600,2,Match Finished,FT,487,Lazio,497,AS Roma,1,1,draw
14,14,232534,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,499,Atalanta,503,Torino,2,3,Torino
15,15,232536,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,490,Cagliari,505,Inter,1,2,Inter
16,16,232537,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,495,Genoa,502,Fiorentina,2,1,Genoa
17,17,232540,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,867,Lecce,504,Verona,0,1,Verona
18,18,232542,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,488,Sassuolo,498,Sampdoria,4,1,Sassuolo
19,19,232543,891,2019-09-01T18:45:00+00:00,1567363500,2,Match Finished,FT,494,Udinese,523,Parma,1,3,Parma
20,20,232545,891,2019-09-14T13:00:00+00:00,1568466000,3,Match Finished,FT,502,Fiorentina,496,Juventus,0,0,draw
21,21,232549,891,2019-09-14T16:00:00+00:00,1568476800,3,Match Finished,FT,492,Napoli,498,Sampdoria,2,0,Napoli
22,22,232548,891,2019-09-14T18:45:00+00:00,1568486700,3,Match Finished,FT,505,Inter,494,Udinese,1,0,Inter
23,23,232546,891,2019-09-15T10:30:00+00:00,1568543400,3,Match Finished,FT,495,Genoa,499,Atalanta,1,2,Atalanta
24,24,232544,891,2019-09-15T13:00:00+00:00,1568552400,3,Match Finished,FT,518,Brescia,500,Bologna,3,4,Bologna
25,25,232550,891,2019-09-15T13:00:00+00:00,1568552400,3,Match Finished,FT,523,Parma,490,Cagliari,1,3,Cagliari
26,26,232552,891,2019-09-15T13:00:00+00:00,1568552400,3,Match Finished,FT,493,Spal,487,Lazio,2,1,Spal
27,27,232551,891,2019-09-15T16:00:00+00:00,1568563200,3,Match Finished,FT,497,AS Roma,488,Sassuolo,4,2,AS Roma
28,28,232547,891,2019-09-15T18:45:00+00:00,1568573100,3,Match Finished,FT,504,Verona,489,AC Milan,0,1,AC Milan
29,29,232553,891,2019-09-16T18:45:00+00:00,1568659500,3,Match Finished,FT,503,Torino,867,Lecce,1,2,Lecce
30,30,232556,891,2019-09-20T18:45:00+00:00,1569005100,4,Match Finished,FT,490,Cagliari,495,Genoa,3,1,Cagliari
31,31,232563,891,2019-09-21T13:00:00+00:00,1569070800,4,Match Finished,FT,494,Udinese,518,Brescia,0,1,Brescia
32,32,232557,891,2019-09-21T16:00:00+00:00,1569081600,4,Match Finished,FT,496,Juventus,504,Verona,2,1,Juventus
33,33,232560,891,2019-09-21T18:45:00+00:00,1569091500,4,Match Finished,FT,489,AC Milan,505,Inter,0,2,Inter
34,34,232562,891,2019-09-22T10:30:00+00:00,1569148200,4,Match Finished,FT,488,Sassuolo,493,Spal,3,0,Sassuolo
35,35,232555,891,2019-09-22T13:00:00+00:00,1569157200,4,Match Finished,FT,500,Bologna,497,AS Roma,1,2,AS Roma
36,36,232559,891,2019-09-22T13:00:00+00:00,1569157200,4,Match Finished,FT,867,Lecce,492,Napoli,1,4,Napoli
37,37,232561,891,2019-09-22T13:00:00+00:00,1569157200,4,Match Finished,FT,498,Sampdoria,503,Torino,1,0,Sampdoria
38,38,232554,891,2019-09-22T16:00:00+00:00,1569168000,4,Match Finished,FT,499,Atalanta,502,Fiorentina,2,2,draw
39,39,232558,891,2019-09-22T18:45:00+00:00,1569177900,4,Match Finished,FT,487,Lazio,523,Parma,2,0,Lazio
40,40,232567,891,2019-09-24T17:00:00+00:00,1569344400,5,Match Finished,FT,504,Verona,494,Udinese,0,0,draw
41,41,232564,891,2019-09-24T19:00:00+00:00,1569351600,5,Match Finished,FT,518,Brescia,496,Juventus,1,2,Juventus
42,42,232571,891,2019-09-25T17:00:00+00:00,1569430800,5,Match Finished,FT,497,AS Roma,499,Atalanta,0,2,Atalanta
